date,Default,Late,In Grace Period
2019-04-17,0.0316091954023,0.0344827586207,0.0114942528736
2019-04-18,0.031339031339,0.037037037037,0.00854700854701
2019-04-19,0.0339943342776,0.0339943342776,0.014164305949
2019-04-20,0.0339943342776,0.0368271954674,0.0113314447592
2019-04-21,0.0339943342776,0.0368271954674,0.0113314447592
2019-04-22,0.0338983050847,0.0367231638418,0.0141242937853
2019-04-23,0.0339943342776,0.0368271954674,0.0113314447592
2019-04-24,0.0338983050847,0.0367231638418,0.0112994350282
2019-04-25,0.0364145658263,0.0336134453782,0.0112044817927
2019-04-26,0.0361111111111,0.0333333333333,0.0111111111111
2019-04-27,0.0359116022099,0.0331491712707,0.0110497237569
2019-04-28,0.0385674931129,0.030303030303,0.0110192837466
2019-04-29,0.0385674931129,0.0330578512397,0.00826446280992
2019-04-30,0.0384615384615,0.032967032967,0.00549450549451
2019-05-01,0.0384615384615,0.032967032967,0.0
2019-05-02,0.0384615384615,0.032967032967,0.00274725274725
2019-05-03,0.041095890411,0.0301369863014,0.00547945205479
2019-05-04,0.0412087912088,0.0302197802198,0.00549450549451
2019-05-05,0.0412087912088,0.0302197802198,0.00549450549451
2019-05-06,0.0412087912088,0.0302197802198,0.010989010989
2019-05-07,0.041095890411,0.0301369863014,0.0109589041096
2019-05-08,0.041095890411,0.0301369863014,0.0109589041096
2019-05-09,0.041095890411,0.0301369863014,0.00821917808219
2019-05-10,0.041095890411,0.0301369863014,0.00821917808219
2019-05-11,0.0409836065574,0.0300546448087,0.00819672131148
2019-05-12,0.0407608695652,0.0326086956522,0.0054347826087
2019-05-13,0.0406504065041,0.0325203252033,0.00542005420054
2019-05-14,0.0406504065041,0.0325203252033,0.00813008130081
2019-05-15,0.0405405405405,0.0324324324324,0.00540540540541
2019-05-16,0.0404312668464,0.0350404312668,0.00269541778976
2019-05-17,0.0402144772118,0.0348525469169,0.00536193029491
2019-05-18,0.0402144772118,0.0348525469169,0.00536193029491
2019-05-19,0.0402144772118,0.0348525469169,0.00536193029491
2019-05-20,0.0402144772118,0.0348525469169,0.00536193029491
2019-05-21,0.0402144772118,0.0348525469169,0.00804289544236
2019-05-22,0.0402144772118,0.0348525469169,0.0107238605898
2019-05-23,0.0425531914894,0.031914893617,0.00797872340426
2019-05-24,0.0425531914894,0.031914893617,0.0132978723404
2019-05-25,0.0425531914894,0.031914893617,0.0132978723404
2019-05-26,0.0425531914894,0.031914893617,0.0132978723404
2019-05-27,0.0425531914894,0.0345744680851,0.0106382978723
2019-05-28,0.042328042328,0.037037037037,0.010582010582
2019-05-29,0.042328042328,0.037037037037,0.0132275132275
2019-05-30,0.0424403183024,0.0371352785146,0.0106100795756
2019-05-31,0.0449735449735,0.0343915343915,0.00793650793651
2019-06-01,0.0448548812665,0.0369393139842,0.00527704485488
2019-06-02,0.0447368421053,0.0368421052632,0.00526315789474
2019-06-03,0.0446194225722,0.0367454068241,0.0157480314961
